sku,current_stock,min_stock,stock_status
SKU-00146,-798.0,48,WARNING
SKU-00055,-750.0,4,WARNING
SKU-00085,-525.0,16,WARNING
SKU-00080,-399.0,43,WARNING
SKU-00027,-171.0,47,WARNING
SKU-00147,-99.0,14,WARNING
SKU-00118,144.0,21,OK
SKU-00139,144.0,5,OK
SKU-00175,186.0,5,OK
SKU-00020,189.0,29,OK
SKU-00184,291.0,36,OK
SKU-00173,357.0,20,OK
SKU-00142,369.0,39,OK
SKU-00071,435.0,24,OK
SKU-00130,486.0,32,OK
SKU-00105,516.0,27,OK
SKU-00037,522.0,0,OK
SKU-00188,528.0,34,OK
SKU-00094,537.0,42,OK
SKU-00152,540.0,28,OK
SKU-00115,540.0,12,OK
SKU-00012,558.0,35,OK
SKU-00008,564.0,48,OK
SKU-00022,582.0,2,OK
SKU-00165,618.0,31,OK
SKU-00111,636.0,1,OK
SKU-00024,693.0,13,OK
SKU-00199,741.0,11,OK
SKU-00018,744.0,44,OK
SKU-00103,795.0,7,OK
SKU-00166,843.0,31,OK
SKU-00003,852.0,5,OK
SKU-00140,852.0,14,OK
SKU-00124,870.0,46,OK
SKU-00093,885.0,42,OK
SKU-00133,891.0,39,OK
SKU-00010,924.0,38,OK
SKU-00066,951.0,29,OK
SKU-00081,963.0,7,OK
SKU-00015,990.0,14,OK
SKU-00063,1026.0,25,OK
SKU-00044,1065.0,5,OK
SKU-00102,1083.0,35,OK
SKU-00045,1086.0,48,OK
SKU-00016,1128.0,17,OK
SKU-00181,1134.0,10,OK
SKU-00198,1140.0,21,OK
SKU-00153,1155.0,49,OK
SKU-00157,1155.0,8,OK
SKU-00162,1185.0,48,OK
SKU-00004,1188.0,35,OK
SKU-00031,1194.0,38,OK
SKU-00064,1212.0,15,OK
SKU-00112,1338.0,42,OK
SKU-00159,1338.0,26,OK
SKU-00056,1341.0,4,OK
SKU-00128,1350.0,23,OK
SKU-00095,1368.0,7,OK
SKU-00148,1368.0,3,OK
SKU-00163,1431.0,0,OK
SKU-00060,1431.0,12,OK
SKU-00001,1467.0,8,OK
SKU-00145,1488.0,25,OK
SKU-00009,1506.0,24,OK
SKU-00036,1527.0,18,OK
SKU-00070,1548.0,25,OK
SKU-00000,1557.0,47,OK
SKU-00099,1566.0,5,OK
SKU-00075,1566.0,3,OK
SKU-00062,1569.0,46,OK
SKU-00106,1578.0,23,OK
SKU-00061,1590.0,22,OK
SKU-00035,1605.0,49,OK
SKU-00082,1608.0,37,OK
SKU-00072,1623.0,50,OK
SKU-00193,1635.0,46,OK
SKU-00186,1644.0,6,OK
SKU-00043,1662.0,15,OK
SKU-00194,1674.0,29,OK
SKU-00113,1677.0,10,OK
SKU-00158,1680.0,44,OK
SKU-00121,1719.0,1,OK
SKU-00058,1725.0,46,OK
SKU-00154,1737.0,40,OK
SKU-00116,1782.0,19,OK
SKU-00050,1791.0,28,OK
SKU-00169,1809.0,25,OK
SKU-00138,1833.0,18,OK
SKU-00047,1896.0,16,OK
SKU-00164,1902.0,48,OK
SKU-00052,1923.0,21,OK
SKU-00141,1944.0,1,OK
SKU-00134,1956.0,35,OK
SKU-00029,1956.0,5,OK
SKU-00065,1971.0,8,OK
SKU-00077,1977.0,37,OK
SKU-00074,2019.0,9,OK
SKU-00086,2022.0,29,OK
SKU-00089,2043.0,8,OK
SKU-00096,2064.0,17,OK
SKU-00005,2085.0,14,OK
SKU-00028,2112.0,23,OK
SKU-00053,2124.0,37,OK
SKU-00172,2151.0,24,OK
SKU-00017,2166.0,23,OK
SKU-00033,2169.0,35,OK
SKU-00049,2196.0,45,OK
SKU-00117,2199.0,1,OK
SKU-00144,2202.0,45,OK
SKU-00042,2205.0,7,OK
SKU-00006,2247.0,0,OK
SKU-00078,2256.0,3,OK
SKU-00170,2262.0,5,OK
SKU-00019,2271.0,34,OK
SKU-00034,2274.0,43,OK
SKU-00069,2280.0,26,OK
SKU-00021,2301.0,43,OK
SKU-00083,2325.0,26,OK
SKU-00048,2343.0,13,OK
SKU-00160,2346.0,26,OK
SKU-00051,2370.0,7,OK
SKU-00030,2373.0,9,OK
SKU-00119,2388.0,22,OK
SKU-00150,2388.0,48,OK
SKU-00101,2394.0,40,OK
SKU-00122,2442.0,37,OK
SKU-00026,2448.0,8,OK
SKU-00076,2448.0,47,OK
SKU-00126,2460.0,36,OK
SKU-00109,2478.0,39,OK
SKU-00091,2490.0,28,OK
SKU-00183,2505.0,6,OK
SKU-00023,2532.0,17,OK
SKU-00098,2544.0,32,OK
SKU-00132,2565.0,12,OK
SKU-00088,2598.0,4,OK
SKU-00104,2619.0,23,OK
SKU-00155,2628.0,4,OK
SKU-00182,2655.0,49,OK
SKU-00007,2673.0,21,OK
SKU-00171,2697.0,29,OK
SKU-00114,2703.0,2,OK
SKU-00013,2715.0,36,OK
SKU-00178,2718.0,1,OK
SKU-00039,2745.0,40,OK
SKU-00135,2757.0,18,OK
SKU-00067,2757.0,35,OK
SKU-00107,2781.0,13,OK
SKU-00038,2793.0,32,OK
SKU-00097,2799.0,45,OK
SKU-00131,2808.0,25,OK
SKU-00041,2817.0,38,OK
SKU-00059,2856.0,15,OK
SKU-00092,2862.0,39,OK
SKU-00161,2886.0,24,OK
SKU-00143,2892.0,26,OK
SKU-00087,2892.0,29,OK
SKU-00136,2919.0,29,OK
SKU-00189,2922.0,32,OK
SKU-00179,2931.0,8,OK
SKU-00014,2934.0,42,OK
SKU-00108,2943.0,22,OK
SKU-00129,2952.0,39,OK
SKU-00187,2952.0,50,OK
SKU-00180,2985.0,29,OK
SKU-00011,3036.0,34,OK
SKU-00168,3090.0,29,OK
SKU-00046,3114.0,42,OK
SKU-00127,3114.0,45,OK
SKU-00137,3123.0,32,OK
SKU-00073,3168.0,27,OK
SKU-00120,3171.0,43,OK
SKU-00167,3171.0,42,OK
SKU-00156,3201.0,17,OK
SKU-00149,3201.0,29,OK
SKU-00151,3204.0,35,OK
SKU-00057,3207.0,42,OK
SKU-00192,3243.0,45,OK
SKU-00100,3255.0,2,OK
SKU-00197,3267.0,48,OK
SKU-00191,3306.0,27,OK
SKU-00190,3321.0,26,OK
SKU-00025,3351.0,41,OK
SKU-00079,3357.0,11,OK
SKU-00084,3375.0,16,OK
SKU-00040,3396.0,9,OK
SKU-00032,3432.0,38,OK
SKU-00174,3462.0,48,OK
SKU-00196,3729.0,17,OK
SKU-00002,3777.0,37,OK
SKU-00185,3828.0,45,OK
SKU-00068,3834.0,5,OK
SKU-00123,3942.0,6,OK
SKU-00125,3945.0,38,OK
SKU-00195,3981.0,20,OK
SKU-00110,4026.0,10,OK
SKU-00090,4239.0,15,OK
SKU-00054,4371.0,45,OK
SKU-00176,5115.0,22,OK
SKU-00177,5154.0,48,OK
